entity;pathway
TFAM;Mitochondrial transcription initiation
MTERF1;Mitochondrial transcription termination
TNRC6A;Transcriptional regulation by small RNAs
IPO8;Transcriptional regulation by small RNAs
MAEL;PIWI-interacting RNA (piRNA) biogenesis
TDRKH;PIWI-interacting RNA (piRNA) biogenesis
TDRD9;PIWI-interacting RNA (piRNA) biogenesis
GTF3A;RNA Polymerase III Transcription Initiation From Type 1 Promoter
POU2F1;RNA Polymerase III Transcription Initiation From Type 3 Promoter
ZNF143;RNA Polymerase III Transcription Initiation From Type 3 Promoter
ABL1;Factors involved in megakaryocyte development and platelet production
CDK5;Factors involved in megakaryocyte development and platelet production
NFE2;Factors involved in megakaryocyte development and platelet production
HBG1;Factors involved in megakaryocyte development and platelet production
HBB;Factors involved in megakaryocyte development and platelet production
HBE1;Factors involved in megakaryocyte development and platelet production
HBD;Factors involved in megakaryocyte development and platelet production
HBG2;Factors involved in megakaryocyte development and platelet production
KIFC1;Kinesins
RACGAP1;Kinesins
KIF9;Kinesins
KIFAP3;Kinesins
KIF3A;Kinesins
KIF11;Kinesins
KIF15;Kinesins
KIF18A;Kinesins
CENPE;Kinesins
VPS45;Factors involved in megakaryocyte development and platelet production
RAB5A;Factors involved in megakaryocyte development and platelet production
RBSN;Factors involved in megakaryocyte development and platelet production
IRF1;Factors involved in megakaryocyte development and platelet production
CARMIL1;Factors involved in megakaryocyte development and platelet production
CAPZB;Factors involved in megakaryocyte development and platelet production
CBX5;Factors involved in megakaryocyte development and platelet production
CDK2;Factors involved in megakaryocyte development and platelet production
WEE1;Factors involved in megakaryocyte development and platelet production
CABLES1;Factors involved in megakaryocyte development and platelet production
SIN3A;Factors involved in megakaryocyte development and platelet production
MYB;Factors involved in megakaryocyte development and platelet production
IRF2;Factors involved in megakaryocyte development and platelet production
RAD51C;Factors involved in megakaryocyte development and platelet production
RAD51B;Factors involved in megakaryocyte development and platelet production
JAK2;Factors involved in megakaryocyte development and platelet production
RAF1;GP1b-IX-V activation signalling
VWF;GP1b-IX-V activation signalling
FLNA;GP1b-IX-V activation signalling
PIK3R1;GP1b-IX-V activation signalling
AAMP;Thromboxane signalling through TP receptor
CALU;Platelet degranulation 
HSPA5;Platelet degranulation 
STXBP3;Disinhibition of SNARE formation
STX4;Disinhibition of SNARE formation
ARRB2;Thrombin signalling through proteinase activated receptors (PARs)
F2R;Thrombin signalling through proteinase activated receptors (PARs)
ARRB1;Thrombin signalling through proteinase activated receptors (PARs)
THPO;Platelet Aggregation (Plug Formation)
MPL;Platelet Aggregation (Plug Formation)
TLN1;Integrin signaling
APBB1IP;Integrin signaling
SHC1;Integrin signaling
BCAR1;p130Cas linkage to MAPK signaling for integrins
PTK2;Integrin signaling
CSK;Integrin signaling
CRK;p130Cas linkage to MAPK signaling for integrins
SYK;Integrin signaling
SOS1;GRB2:SOS provides linkage to MAPK signaling for Integrins 
PTK2;GRB2:SOS provides linkage to MAPK signaling for Integrins 
PDPN;GPVI-mediated activation cascade
LAT;GPVI-mediated activation cascade
MPIG6B;GPVI-mediated activation cascade
PLG;Dissolution of Fibrin Clot
HRG;Dissolution of Fibrin Clot
PLAT;Dissolution of Fibrin Clot
PLAU;Dissolution of Fibrin Clot
PLAUR;Dissolution of Fibrin Clot
SERPINE1;Dissolution of Fibrin Clot
SERPINF2;Dissolution of Fibrin Clot
SERPINB2;Dissolution of Fibrin Clot
JAK2;Signaling by CSF3 (G-CSF)
HCK;Signaling by CSF3 (G-CSF)
SYK;Signaling by CSF3 (G-CSF)
TYK2;Signaling by CSF3 (G-CSF)
RNF7;Inactivation of CSF3 (G-CSF) signaling
ELOC;Inactivation of CSF3 (G-CSF) signaling
ELOB;Inactivation of CSF3 (G-CSF) signaling
CUL5;Inactivation of CSF3 (G-CSF) signaling
SOCS3;Inactivation of CSF3 (G-CSF) signaling
SOCS1;Inactivation of CSF3 (G-CSF) signaling
GRB2;Signaling by CSF3 (G-CSF)
SHC1;Signaling by CSF3 (G-CSF)
GAB2;Signaling by CSF3 (G-CSF)
PTPN11;Signaling by CSF3 (G-CSF)
KRAS;Signaling by CSF3 (G-CSF)
PTPN6;Growth hormone receptor signaling
LYN;Growth hormone receptor signaling
PTPN1;Growth hormone receptor signaling
TRAF3;TNFR2 non-canonical NF-kB pathway,TNFRSF mediated non-canonical NF-kB pathway
TNFRSF12A;TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway
TNFRSF13C;TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway
LTBR;TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway
TNFRSF11A;TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway
EDAR;TNFs bind their physiological receptors
EDA;TNFs bind their physiological receptors
TNFRSF25;TNFs bind their physiological receptors
TNFSF15;TNFs bind their physiological receptors
EDA2R;TNFs bind their physiological receptors
TNFRSF9;TNFs bind their physiological receptors
TNFRSF4;TNFs bind their physiological receptors
CD27;TNFs bind their physiological receptors
TNFRSF6B;TNFs bind their physiological receptors
TNFSF8;TNFs bind their physiological receptors
TNFRSF8;TNFs bind their physiological receptors
TNFRSF11B;TNFs bind their physiological receptors
TNFSF18;TNFs bind their physiological receptors
TNFRSF18;TNFs bind their physiological receptors
EDARADD;TNFs bind their physiological receptors
STAT3;Interleukin-7 signaling
TSLP;Interleukin-7 signaling
HGF;Interleukin-7 signaling
IL24;Interleukin-20 family signaling
IL20;Interleukin-20 family signaling
IL26;Interleukin-20 family signaling
STAT1;Interleukin-20 family signaling
IL13;Interleukin-4 and Interleukin-13 signaling
TYK2;Interleukin-4 and Interleukin-13 signaling
IL13RA1;Interleukin-4 and Interleukin-13 signaling
GATA3;Interleukin-4 and Interleukin-13 signaling
FASLG;Interleukin-4 and Interleukin-13 signaling
IL13RA2;Interleukin-4 and Interleukin-13 signaling
SOCS1;Interleukin-4 and Interleukin-13 signaling
MAOA;Interleukin-4 and Interleukin-13 signaling
HSP90B1;Interleukin-4 and Interleukin-13 signaling
HMOX1;Interleukin-4 and Interleukin-13 signaling
CD36;Interleukin-4 and Interleukin-13 signaling
IL27;Interleukin-27 signaling
CRLF1;Interleukin-27 signaling
STAT3;Interleukin-27 signaling
STAT1;Interleukin-27 signaling
IL27RA;Interleukin-27 signaling
JAK1;Interleukin-27 signaling
CANX;Interleukin-27 signaling
EBI3;Interleukin-27 signaling
IL12RB1;Interleukin-12 signaling
TYK2;Interleukin-12 signaling
BOLA2;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
MSN;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
MIF;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
SOD2;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
HNRNPF;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
PDCD4;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
PITPNA;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
RALA;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
LMNB1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
LCP1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
HNRNPDL;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
ARF1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
MTAP;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
IFNG;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
CA1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
GSTO1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
TALDO1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
SNRPA1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
ANXA2;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
IL10;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
RAP1B;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
HNRNPA2B1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
CAPZA1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
CNN2;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
CDC42;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
PAK2;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
SERPINB2;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
PPIA;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
AIP;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
GSTA2;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
TCP1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
RPLP0;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
SOD1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
PSME2;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
CFL1;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
HSPA9;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
JAK2;Interleukin-12 signaling
IL12RB2;Interleukin-12 signaling
IL12B;Interleukin-12 signaling
IL12A;Interleukin-12 signaling
STAT4;Interleukin-12 signaling
CANX;Interleukin-35 Signalling
IL12A;Interleukin-35 Signalling
STAT1;Interleukin-35 Signalling
STAT3;Interleukin-35 Signalling
STAT4;Interleukin-35 Signalling
EBI3;Interleukin-35 Signalling
STAT4;Interleukin-23 signaling
STAT3;Interleukin-23 signaling
JAK2;Interleukin-23 signaling
IL23R;Interleukin-23 signaling
IL23A;Interleukin-23 signaling
IL12B;Interleukin-23 signaling
CSF1R;Signaling by CSF1 (M-CSF) in myeloid cells
CBL;Signaling by CSF1 (M-CSF) in myeloid cells
GRAP2;Signaling by CSF1 (M-CSF) in myeloid cells
SHC1;Signaling by CSF1 (M-CSF) in myeloid cells
INPP5D;Signaling by CSF1 (M-CSF) in myeloid cells
FYN;Signaling by CSF1 (M-CSF) in myeloid cells
SRC;Signaling by CSF1 (M-CSF) in myeloid cells
LYN;Signaling by CSF1 (M-CSF) in myeloid cells
YES1;Signaling by CSF1 (M-CSF) in myeloid cells
THOC5;Signaling by CSF1 (M-CSF) in myeloid cells
PLCG2;Signaling by CSF1 (M-CSF) in myeloid cells
INPPL1;Signaling by CSF1 (M-CSF) in myeloid cells
PTPN11;Signaling by CSF1 (M-CSF) in myeloid cells
RAP1GAP2;Rap1 signalling
RAF1;Rap1 signalling
CD160;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CD99;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
SELL;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
KIR2DL1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
NECTIN2;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CRTAM;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
KIR3DL1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
PILRA;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
KLRC1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
KLRD1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
PVR;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CD226;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
KIR2DL4;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
KIR3DL2;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
KLRG1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CDH1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CD96;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CLEC2D;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CD200;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CD200R1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
SLAMF6;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
OSCAR;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
SLAMF7;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
LAIR2;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
NCR3LG1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
LAIR1;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
SH3GL2;MHC class II antigen presentation
CANX;MHC class II antigen presentation
LAG3;MHC class II antigen presentation
CD74;MHC class II antigen presentation
SPTBN2;MHC class II antigen presentation
XDH;Butyrophilin (BTN) family interactions
BTN1A1;Butyrophilin (BTN) family interactions
BTN2A2;Butyrophilin (BTN) family interactions
PPL;Butyrophilin (BTN) family interactions
BTNL8;Butyrophilin (BTN) family interactions
BTNL9;Butyrophilin (BTN) family interactions
BTN2A1;Butyrophilin (BTN) family interactions
CD209;Butyrophilin (BTN) family interactions
BTNL2;Butyrophilin (BTN) family interactions
MTMR7;Synthesis of PIPs at the late endosome membrane
MTMR7;Synthesis of IP2, IP, and Ins in the cytosol
MTMR9;Synthesis of PIPs at the late endosome membrane
MTMR9;Synthesis of IP2, IP, and Ins in the cytosol
LIPE;Triglyceride catabolism,Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis
PLIN1;Triglyceride catabolism,Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis
ABHD5;Triglyceride catabolism,Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis
FABP4;Triglyceride catabolism,Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis
KPNB1;Regulation of cholesterol biosynthesis by SREBP (SREBF)
TM7SF2;Activation of gene expression by SREBF (SREBP)
SP1;Activation of gene expression by SREBF (SREBP)
GGPS1;Activation of gene expression by SREBF (SREBP)
ELOVL6;Activation of gene expression by SREBF (SREBP)
GPAM;Activation of gene expression by SREBF (SREBP)
MVD;Activation of gene expression by SREBF (SREBP)
PMVK;Activation of gene expression by SREBF (SREBP)
FDPS;Activation of gene expression by SREBF (SREBP)
DHCR7;Activation of gene expression by SREBF (SREBP)
LSS;Activation of gene expression by SREBF (SREBP)
ACACB;Activation of gene expression by SREBF (SREBP)
IDI1;Activation of gene expression by SREBF (SREBP)
SCD;Activation of gene expression by SREBF (SREBP)
HMGCS1;PPARA activates gene expression
HMGCS1;Activation of gene expression by SREBF (SREBP)
FDFT1;PPARA activates gene expression
FDFT1;Activation of gene expression by SREBF (SREBP)
SC5D;Activation of gene expression by SREBF (SREBP)
FASN;Activation of gene expression by SREBF (SREBP)
ACACA;Activation of gene expression by SREBF (SREBP)
SQLE;Activation of gene expression by SREBF (SREBP)
CYP51A1;Activation of gene expression by SREBF (SREBP)
MVK;Activation of gene expression by SREBF (SREBP)
HILPDA;Lipid particle organization
HSD17B13;Lipid particle organization
ACSL1;PPARA activates gene expression
ANKRD1;PPARA activates gene expression
APOA2;PPARA activates gene expression
RGL1;PPARA activates gene expression
SULT2A1;PPARA activates gene expression
GLIPR1;PPARA activates gene expression
CPT2;PPARA activates gene expression
PLIN2;PPARA activates gene expression
TNFRSF21;PPARA activates gene expression
TIAM2;PPARA activates gene expression
TRIB3;PPARA activates gene expression
CYP1A1;PPARA activates gene expression
ABCA1;PPARA activates gene expression
ABCB4;PPARA activates gene expression
HMGCS2;PPARA activates gene expression
APOA5;PPARA activates gene expression
UGT1A9;PPARA activates gene expression
G0S2;PPARA activates gene expression
ME1;PPARA activates gene expression
FADS1;PPARA activates gene expression
APOA1;PPARA activates gene expression
CYP4A11;PPARA activates gene expression
TXNRD1;PPARA activates gene expression
PEX11A;PPARA activates gene expression
SLC27A1;PPARA activates gene expression
FABP1;PPARA activates gene expression
GRHL1;PPARA activates gene expression
CYP7A1;PPARA activates gene expression
FHL2;PPARA activates gene expression
ACADM;PPARA activates gene expression
ALAS1;Transcriptional activation of mitochondrial biogenesis
ALAS1;PPARA activates gene expression
PPARGC1B;Transcriptional activation of mitochondrial biogenesis
NRF1;Transcriptional activation of mitochondrial biogenesis
PPARGC1A;Activation of PPARGC1A (PGC-1alpha) by phosphorylation
FASN;Fatty acyl-CoA biosynthesis
THRSP;Carnitine metabolism,Import of palmitoyl-CoA into the mitochondrial matrix
MID1IP1;Carnitine metabolism,Import of palmitoyl-CoA into the mitochondrial matrix
STARD7;Synthesis of PC
STARD10;Synthesis of PC
LPCAT1;Synthesis of PC
PCTP;Synthesis of PC
MTMR2;Synthesis of PIPs at the ER membrane
SBF1;Synthesis of PIPs at the ER membrane
MTMR8;Synthesis of PIPs at the plasma membrane
MTMR9;Synthesis of PIPs at the plasma membrane
RUFY1;Synthesis of PIPs at the plasma membrane
MTMR2;Synthesis of PIPs at the plasma membrane
ARF1;Synthesis of PIPs at the plasma membrane
MTMR6;Synthesis of PIPs at the plasma membrane
MTMR2;Synthesis of PIPs at the early endosome membrane
MTMR10;Synthesis of PIPs at the early endosome membrane
MTMR12;Synthesis of PIPs at the early endosome membrane
MTM1;Synthesis of PIPs at the early endosome membrane
TTPA;Vitamin E
NUBP2;Cytosolic iron-sulfur cluster assembly
GLRX5;Mitochondrial iron-sulfur cluster biogenesis
TXN;Protein repair
RNF152;E3 ubiquitin ligases ubiquitinate target proteins
HLTF;E3 ubiquitin ligases ubiquitinate target proteins
RNF181;E3 ubiquitin ligases ubiquitinate target proteins
BCL10;E3 ubiquitin ligases ubiquitinate target proteins
SHPRH;E3 ubiquitin ligases ubiquitinate target proteins
UBE2N;E3 ubiquitin ligases ubiquitinate target proteins
PRKDC;E3 ubiquitin ligases ubiquitinate target proteins
RNF144A;E3 ubiquitin ligases ubiquitinate target proteins
WAC;E3 ubiquitin ligases ubiquitinate target proteins
UBE2L3;E3 ubiquitin ligases ubiquitinate target proteins
UBA1;Synthesis of active ubiquitin: roles of E1 and E2 enzymes
RPS27A;Synthesis of active ubiquitin: roles of E1 and E2 enzymes
UBC;Synthesis of active ubiquitin: roles of E1 and E2 enzymes
UBA52;Synthesis of active ubiquitin: roles of E1 and E2 enzymes
UBB;Synthesis of active ubiquitin: roles of E1 and E2 enzymes
UBA6;Synthesis of active ubiquitin: roles of E1 and E2 enzymes
RABGGTA;RAB geranylgeranylation
RABGGTB;RAB geranylgeranylation
PTP4A2;RAB geranylgeranylation
HSPA8;Protein methylation
EEF1A1;Protein methylation
ETFB;Protein methylation
EEF2;Protein methylation
KIN;Protein methylation
VCP;Protein methylation
UBE2I;SUMOylation of chromatin organization proteins
L3MBTL2;SUMOylation of chromatin organization proteins
H4C1;SUMOylation of chromatin organization proteins
CHD3;SUMOylation of chromatin organization proteins
HDAC4;SUMOylation of chromatin organization proteins
SATB1;SUMOylation of chromatin organization proteins
SUZ12;SUMOylation of chromatin organization proteins
HDAC2;SUMOylation of chromatin organization proteins
HDAC1;SUMOylation of chromatin organization proteins
SATB2;SUMOylation of chromatin organization proteins
CBX5;SUMOylation of chromatin organization proteins
DNMT1;SUMOylation of DNA methylation proteins
UBE2I;SUMOylation of DNA methylation proteins
DNMT3A;SUMOylation of DNA methylation proteins
DNMT3B;SUMOylation of DNA methylation proteins
UBE2I;SUMOylation of RNA binding proteins
HNRNPK;SUMOylation of RNA binding proteins
NOP58;SUMOylation of RNA binding proteins
HNRNPC;SUMOylation of RNA binding proteins
FOXL2;SUMOylation of transcription factors
MITF;SUMOylation of transcription factors
SP3;SUMOylation of transcription factors
TP53BP1;SUMOylation of transcription factors
TP53;SUMOylation of transcription factors
HIC1;SUMOylation of transcription factors
MTA1;SUMOylation of transcription factors
RORA;SUMOylation of intracellular receptors
THRB;SUMOylation of intracellular receptors
PPARA;SUMOylation of intracellular receptors
NR4A2;SUMOylation of intracellular receptors
PPARG;SUMOylation of intracellular receptors
RARA;SUMOylation of intracellular receptors
PGR;SUMOylation of intracellular receptors
NR5A1;SUMOylation of intracellular receptors
ESR1;SUMOylation of intracellular receptors
NR2C1;SUMOylation of intracellular receptors
NR3C2;SUMOylation of intracellular receptors
AR;SUMOylation of intracellular receptors
RXRA;SUMOylation of intracellular receptors
UBE2I;SUMOylation of DNA damage response and repair proteins
BRCA1;SUMOylation of DNA damage response and repair proteins
SP100;SUMOylation of DNA damage response and repair proteins
RPA1;SUMOylation of DNA damage response and repair proteins
TDG;SUMOylation of DNA damage response and repair proteins
XPC;SUMOylation of DNA damage response and repair proteins
RNF168;SUMOylation of DNA damage response and repair proteins
HERC2;SUMOylation of DNA damage response and repair proteins
WRN;SUMOylation of DNA damage response and repair proteins
PARP1;SUMOylation of DNA damage response and repair proteins
PML;SUMOylation of DNA damage response and repair proteins
XRCC4;SUMOylation of DNA damage response and repair proteins
BLM;SUMOylation of DNA damage response and repair proteins
CETN2;SUMOylation of DNA damage response and repair proteins
RAD52;SUMOylation of DNA damage response and repair proteins
MDC1;SUMOylation of DNA damage response and repair proteins
UBE2I;SUMOylation of DNA replication proteins
PCNA;SUMOylation of DNA replication proteins
TOP2A;SUMOylation of DNA replication proteins
TOP1;SUMOylation of DNA replication proteins
TOP2B;SUMOylation of DNA replication proteins
AURKA;SUMOylation of DNA replication proteins
UBE2I;SUMOylation of transcription cofactors
SAFB;SUMOylation of transcription cofactors
CTBP1;SUMOylation of transcription cofactors
ZNF131;SUMOylation of transcription cofactors
MBD1;SUMOylation of transcription cofactors
NCOA1;SUMOylation of transcription cofactors
HIPK2;SUMOylation of transcription cofactors
PPARGC1A;SUMOylation of transcription cofactors
SIN3A;SUMOylation of transcription cofactors
NPM1;SUMOylation of transcription cofactors
DAXX;SUMOylation of transcription cofactors
DDX5;SUMOylation of transcription cofactors
MRTFA;SUMOylation of transcription cofactors
EP300;SUMOylation of transcription cofactors
CASP8AP2;SUMOylation of transcription cofactors
NRIP1;SUMOylation of transcription cofactors
CREBBP;SUMOylation of transcription cofactors
PARK7;SUMOylation of transcription cofactors
DDX17;SUMOylation of transcription cofactors
NCOR2;SUMOylation of transcription cofactors
NCOA2;SUMOylation of transcription cofactors
ING2;SUMOylation of transcription cofactors
UBE2I;SUMOylation of ubiquitinylation proteins
MDM2;SUMOylation of ubiquitinylation proteins
VHL;SUMOylation of ubiquitinylation proteins
UBE2I;SUMOylation of SUMOylation proteins
RANBP2;SUMOylation of SUMOylation proteins
PIAS4;SUMOylation of SUMOylation proteins
TOPORS;SUMOylation of SUMOylation proteins
PLAUR;Attachment of GPI anchor to uPAR
DCUN1D3;Neddylation
BIRC5;Neddylation
PRKN;Josephin domain DUBs
ATXN3;Josephin domain DUBs
BAP1;UCH proteinases
HCFC1;UCH proteinases
BARD1;UCH proteinases
UCHL5;UCH proteinases
ADRM1;UCH proteinases
STAM;Metalloprotease DUBs
STAMBP;Metalloprotease DUBs
USP19;Ub-specific processing proteases
USP13;Ub-specific processing proteases
USP14;Ub-specific processing proteases
SIAH2;Ub-specific processing proteases
YOD1;Ovarian tumor domain proteases
VCP;Ovarian tumor domain proteases
TNFAIP3;Ovarian tumor domain proteases
VCPIP1;Ovarian tumor domain proteases
PTEN;Ovarian tumor domain proteases
SPHK1;Association of TriC/CCT with target proteins during biosynthesis
ACTB;Folding of actin by CCT/TriC
TBCA;Post-chaperonin tubulin folding pathway
TBCB;Post-chaperonin tubulin folding pathway
TBCE;Post-chaperonin tubulin folding pathway
TBCC;Post-chaperonin tubulin folding pathway
TBCD;Post-chaperonin tubulin folding pathway
SMDT1;Mitochondrial protein degradation
TFAM;Mitochondrial protein degradation
NDUFA13;Mitochondrial protein degradation
POMC;Peptide hormone biosynthesis
FSHB;Glycoprotein hormones
TSHB;Glycoprotein hormones
ACE;Metabolism of Angiotensinogen to Angiotensins
INS;Insulin processing
P4HB;Insulin processing
EXOC7;Insulin processing
EXOC4;Insulin processing
EXOC1;Insulin processing
EXOC3;Insulin processing
EXOC6;Insulin processing
EXOC2;Insulin processing
EXOC5;Insulin processing
EXOC8;Insulin processing
GIP;Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)
DPP4;Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)
TSFM;Mitochondrial translation elongation
MTIF2;Mitochondrial translation initiation
MTIF3;Mitochondrial translation initiation
MRRF;Mitochondrial translation termination
ADAR;Formation of editosomes by ADAR proteins
ADARB1;Formation of editosomes by ADAR proteins
IGF2BP2;Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA
IGF2BP3;Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA
IGF2BP1;Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA
XPOT;tRNA processing in the nucleus
YWHAB;Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
ZFP36L1;Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
DCP1A;Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
XRN1;Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
DCP2;Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
TNPO1;Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA
ZFP36;Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA
DCP1A;Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA
XRN1;Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA
DCP2;Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA
YWHAB;Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA
PARN;KSRP (KHSRP) binds and destabilizes mRNA
DCP2;KSRP (KHSRP) binds and destabilizes mRNA
KHSRP;KSRP (KHSRP) binds and destabilizes mRNA
YWHAZ;KSRP (KHSRP) binds and destabilizes mRNA
HSPA1A;AUF1 (hnRNP D0) binds and destabilizes mRNA
EIF4G1;AUF1 (hnRNP D0) binds and destabilizes mRNA
HSPA8;AUF1 (hnRNP D0) binds and destabilizes mRNA
HSPB1;AUF1 (hnRNP D0) binds and destabilizes mRNA
PABPC1;AUF1 (hnRNP D0) binds and destabilizes mRNA
ELAVL1;HuR (ELAVL1) binds and stabilizes mRNA
TNFSF13;HuR (ELAVL1) binds and stabilizes mRNA
XPO1;HuR (ELAVL1) binds and stabilizes mRNA
SET;HuR (ELAVL1) binds and stabilizes mRNA
ANP32A;HuR (ELAVL1) binds and stabilizes mRNA
NUP214;HuR (ELAVL1) binds and stabilizes mRNA
CSNK1D;Major pathway of rRNA processing in the nucleolus and cytosol
RIOK2;Major pathway of rRNA processing in the nucleolus and cytosol
BYSL;Major pathway of rRNA processing in the nucleolus and cytosol
LTV1;Major pathway of rRNA processing in the nucleolus and cytosol
CSNK1E;Major pathway of rRNA processing in the nucleolus and cytosol
RIOK3;Major pathway of rRNA processing in the nucleolus and cytosol
TSR1;Major pathway of rRNA processing in the nucleolus and cytosol
NOB1;Major pathway of rRNA processing in the nucleolus and cytosol
RIOK1;Major pathway of rRNA processing in the nucleolus and cytosol
PNO1;Major pathway of rRNA processing in the nucleolus and cytosol
PAPOLA;Processing of Capped Intron-Containing Pre-mRNA
PABPN1;Processing of Capped Intron-Containing Pre-mRNA
SUGP1;mRNA Splicing - Major Pathway,pre-mRNA splicing,U2 Dependent Splicing
PPP1R8;mRNA Splicing - Major Pathway,pre-mRNA splicing,U2 Dependent Splicing
DNAJC8;mRNA Splicing - Major Pathway,pre-mRNA splicing,U2 Dependent Splicing
HTATSF1;mRNA Splicing - Major Pathway,pre-mRNA splicing,U2 Dependent Splicing
